Model parameters: 32,557,208
Starting training...
Starting training...
Epoch 18, Batch 130/164, Loss: 0.2365
Epoch 18, Batch 140/164, Loss: 0.2142
Epoch 18, Batch 150/164, Loss: 0.1680
Epoch 18, Batch 160/164, Loss: 0.0063
Epoch 18/20 | Train Loss: 0.1096 Acc: 0.9687 | Val Loss: 0.3309 Acc: 0.9093 | LR: 0.000025 | Time: 59.6s
Epoch 19, Batch 0/164, Loss: 0.0544
Epoch 19, Batch 10/164, Loss: 0.0383
Epoch 19, Batch 20/164, Loss: 0.0343
Epoch 19, Batch 30/164, Loss: 0.0106
Epoch 19, Batch 40/164, Loss: 0.1030
Epoch 19, Batch 50/164, Loss: 0.2997
Epoch 19, Batch 60/164, Loss: 0.0678
Epoch 19, Batch 70/164, Loss: 0.0320
Epoch 19, Batch 80/164, Loss: 0.0146
Epoch 19, Batch 90/164, Loss: 0.0123
Epoch 19, Batch 100/164, Loss: 0.1352
Epoch 19, Batch 110/164, Loss: 0.2891
Epoch 19, Batch 120/164, Loss: 0.1760
Epoch 19, Batch 130/164, Loss: 0.0472
Epoch 19, Batch 140/164, Loss: 0.0671
Epoch 19, Batch 150/164, Loss: 0.0402
Epoch 19, Batch 160/164, Loss: 0.1098
Epoch 19/20 | Train Loss: 0.0852 Acc: 0.9741 | Val Loss: 0.3357 Acc: 0.9164 | LR: 0.000025 | Time: 58.9s
Epoch 20, Batch 0/164, Loss: 0.1787
Epoch 20, Batch 10/164, Loss: 0.0725
Epoch 20, Batch 20/164, Loss: 0.0329
Epoch 20, Batch 30/164, Loss: 0.0091
Epoch 20, Batch 40/164, Loss: 0.0178
Epoch 20, Batch 50/164, Loss: 0.0064
Epoch 20, Batch 60/164, Loss: 0.0234
Epoch 20, Batch 70/164, Loss: 0.0075
Epoch 20, Batch 80/164, Loss: 0.0761
Epoch 20, Batch 90/164, Loss: 0.0143
Epoch 20, Batch 100/164, Loss: 0.1555
Epoch 20, Batch 110/164, Loss: 0.0514
Epoch 20, Batch 120/164, Loss: 0.0908
Epoch 20, Batch 130/164, Loss: 0.1210
Epoch 20, Batch 140/164, Loss: 0.0419
Epoch 20, Batch 150/164, Loss: 0.2017
Epoch 20, Batch 160/164, Loss: 0.0249
Epoch 20/20 | Train Loss: 0.0921 Acc: 0.9706 | Val Loss: 0.3030 Acc: 0.9164 | LR: 0.000025 | Time: 58.2s
Early stopping triggered.
Training completed.
Training complete. Evaluating on test set...
Test set predictions complete. Generating confusion matrix...
Classification Report:
                      precision    recall  f1-score   support

               aphid     0.9750    0.8864    0.9286        44
           army_worm     0.9545    0.9767    0.9655        43
          black_rust     0.8478    0.8478    0.8478        46
          brown_rust     0.9535    0.9318    0.9425        44
         common_rust     0.8814    0.9811    0.9286        53
fusarium_head_blight     0.9189    0.9714    0.9444        35
             healthy     0.9315    0.9444    0.9379        72
         leaf_blight     0.7647    0.5532    0.6420        47
 powdery_mildew_leaf     0.9423    0.9074    0.9245        54
            spetoria     0.9302    0.9756    0.9524        41
            tan_spot     0.6222    0.7568    0.6829        37
         yellow_rust     1.0000    1.0000    1.0000        47

            accuracy                         0.8970       563
           macro avg     0.8935    0.8944    0.8914       563
        weighted avg     0.8985    0.8970    0.8953       563

Model saved to ../saved_models_and_data/wheat_disease_hybrid_model.pth
Training log saved.
🎉 Training completed successfully!
